vivos_000000|tình yêu thương thật sự sự kiên trì và lí tưởng tốt đẹp nhất định sẽ chiến thắng tất cả trong đó có cả đói nghèo và lạc hậu|tình yêu thương thật sự sự kiên trì và lí tưởng tốt đẹp nhất định sẽ chiến thắng tất cả trong đó có cả đói nghèo và lạc hậu
vivos_000001|vở còn có mặt các diễn viên trung dân phương dung phi phụng phú hải ngọc tưởng lệ thi|vở còn có mặt các diễn viên trung dân phương dung phi phụng phú hải ngọc tưởng lệ thi
vivos_000002|chụp hình quay phim luôn được phát huy tối đa trong mọi hoàn cảnh có thể|chụp hình quay phim luôn được phát huy tối đa trong mọi hoàn cảnh có thể
vivos_000003|bạn bè kể rằng anh là một người trầm tính đứng đắn mê chụp ảnh và xe đua thể thao|bạn bè kể rằng anh là một người trầm tính đứng đắn mê chụp ảnh và xe đua thể thao
vivos_000004|đừng vội vàng ảo tưởng về một mối quan hệ hoàn toàn đẹp và tuyệt vời như trong mộng của hai người|đừng vội vàng ảo tưởng về một mối quan hệ hoàn toàn đẹp và tuyệt vời như trong mộng của hai người
vivos_000005|lý do là phim còn thiếu đỉnh điểm cao trào làm cho sau khi kết thúc mỗi tình tiết người xem cảm thấy hụt hẫng và tiếc|lý do là phim còn thiếu đỉnh điểm cao trào làm cho sau khi kết thúc mỗi tình tiết người xem cảm thấy hụt hẫng và tiếc
vivos_000006|hạnh phúc đã mỉm cười đối với gia đình chúng tôi mặc dù tiền đề của hạnh phúc đó không phải là tiền đâu|hạnh phúc đã mỉm cười đối với gia đình chúng tôi mặc dù tiền đề của hạnh phúc đó không phải là tiền đâu
vivos_000007|mấu chốt của vấn đề nằm ở chỗ cơ quan nào đang là nhạc trưởng phụ trách việc liên kết và phát triển vùng|mấu chốt của vấn đề nằm ở chỗ cơ quan nào đang là nhạc trưởng phụ trách việc liên kết và phát triển vùng
vivos_000008|theo ông công tác giám sát hiện nay còn điều gì bất cập làm sao để việc giám sát đảm bảo chất lượng|theo ông công tác giám sát hiện nay còn điều gì bất cập làm sao để việc giám sát đảm bảo chất lượng
vivos_000009|tôi từng khó chịu với sự nhạy cảm thái quá của họ hay những ý tưởng xa vời họ nghĩ ra|tôi từng khó chịu với sự nhạy cảm thái quá của họ hay những ý tưởng xa vời họ nghĩ ra
vivos_000010|cử chỉ ấy giúp tôi hiểu một điều rõ rành rành rằng lời mời kia dành cho tôi đích thị chẳng phải là thân tình|cử chỉ ấy giúp tôi hiểu một điều rõ rành rành rằng lời mời kia dành cho tôi đích thị chẳng phải là thân tình
vivos_000011|bằng này có giá trị như các bằng đại học chính quy nếu có bằng này em có thể học ở bậc học cao hơn như thạc sỹ tiến sỹ|bằng này có giá trị như các bằng đại học chính quy nếu có bằng này em có thể học ở bậc học cao hơn như thạc sỹ tiến sỹ
vivos_000012|chưa hết đi khiếu nại thì nhà mạng bảo về đại lý chọn số khác đi|chưa hết đi khiếu nại thì nhà mạng bảo về đại lý chọn số khác đi
